Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
Towards Crossfire Distributed Denial of Service Attack Protection Using Intent-Based Moving Target Defense Over Software-Defined Networking,M. F. Hyder; T. Fatima,IEEE Access,2021,9,,112792,112804,,10.1109/ACCESS.2021.3103845,Crossfire DDoS;network function virtualization;intent-based networking;moving target defense;software defined networking,IEEE
A Collaborative Security Framework for Software-Defined Wireless Sensor Networks,C. Miranda; G. Kaddoum; E. Bou-Harb; S. Garg; K. Kaur,IEEE Transactions on Information Forensics and Security,2020,15,,2602,2615,,10.1109/TIFS.2020.2973875,Intrusion prevention;intrusion detection;anomaly detection;collaborative security;fog computing;software-defined network,IEEE
Addressing Irregularity in Sparse Neural Networks Through a Cooperative Software/Hardware Approach,X. Zeng; T. Zhi; X. Zhou; Z. Du; Q. Guo; S. Liu; B. Wang; Y. Wen; C. Wang; X. Zhou; L. Li; T. Chen; N. Sun; Y. Chen,IEEE Transactions on Computers,2020,69,7,968,985,,10.1109/TC.2020.2978475,Accelerator;architecture;deep neural networks;sparsity,IEEE
Collaborative Content Delivery in Software-Defined Heterogeneous Vehicular Networks,Y. Hui; Z. Su; T. H. Luan,IEEE/ACM Transactions on Networking,2020,28,2,575,587,,10.1109/TNET.2020.2968746,Software defined networks;heterogeneous vehicular networks;content delivery;double auction game,IEEE
Social Image Sentiment Analysis by Exploiting Multimodal Content and Heterogeneous Relations,J. Xu; Z. Li; F. Huang; C. Li; P. S. Yu,IEEE Transactions on Industrial Informatics,2021,17,4,2974,2982,,10.1109/TII.2020.3005405,Attention mechanism;multimodal sentiment analysis;network information;social image,IEEE
Reliable Computation Offloading for Edge-Computing-Enabled Software-Defined IoV,X. Hou; Z. Ren; J. Wang; W. Cheng; Y. Ren; K. -C. Chen; H. Zhang,IEEE Internet of Things Journal,2020,7,8,7097,7111,,10.1109/JIOT.2020.2982292,Computation offloading;edge computing;Internet of Vehicles (IoV);reliability;software-defined network (SDN),IEEE
Deep Transfer Bug Localization,X. Huo; F. Thung; M. Li; D. Lo; S. -T. Shi,IEEE Transactions on Software Engineering,2021,47,7,1368,1380,,10.1109/TSE.2019.2920771,Cross-project bug localization;transfer learning;deep learning,IEEE
WiFlowCount: Device-Free People Flow Counting by Exploiting Doppler Effect in Commodity WiFi,R. Zhou; Z. Gong; X. Lu; Y. Fu,IEEE Systems Journal,2020,14,4,4919,4930,,10.1109/JSYST.2019.2961735,People flow counting;channel state information (CSI);Doppler shifts;convolutional neural networks (CNN),IEEE
On the Impact of Interlanguage Dependencies in Multilanguage Systems Empirical Case Study on Java Native Interface Applications (JNI),M. Grichi; M. Abidi; F. Jaafar; E. E. Eghan; B. Adams,IEEE Transactions on Reliability,2021,70,1,428,440,,10.1109/TR.2020.3024873,Change history;cochanges;dependency analysis;multilanguage;static code analysis,IEEE
Sova: A Software-Defined Autonomic Framework for Virtual Network Allocations,Z. Ye; Y. Wang; S. He; C. Xu; X. -H. Sun,IEEE Transactions on Parallel and Distributed Systems,2021,32,1,116,130,,10.1109/TPDS.2020.3012146,Virtual machine migration;dynamic SR-IOV;software-defined approach;autonomic computing;MAPE-K loop;network allocation,IEEE
Model-Driven Availability Assessment of the NFV-MANO With Software Rejuvenation,B. Tola; Y. Jiang; B. E. Helvik,IEEE Transactions on Network and Service Management,2021,18,3,2460,2477,,10.1109/TNSM.2021.3090208,NFV-MANO;availability;software aging;software rejuvenation;SAN models;containers,IEEE
SoftHM: A Software-Based Hierarchical Modulation Design for Wireless System,W. Chen; Y. Liu; T. He,IEEE/ACM Transactions on Networking,2021,29,1,452,464,,10.1109/TNET.2020.3040006,Hierarchical modulation;signal emulation;mobile communication system;PHY layer payload design;modulation and coding scheme,IEEE
Exploiting Interference Fingerprints for Predictable Wireless Concurrency,M. Jin; Y. He; X. Zheng; D. Fang; D. Xu; T. Xing; X. Chen,IEEE Transactions on Mobile Computing,2021,20,7,2354,2366,,10.1109/TMC.2020.2978205,Cross-technology interference;concurrent transmission;interference identification;link estimation,IEEE
Enabling Highly Efficient Capsule Networks Processing Through Software-Hardware Co-Design,X. Zhang; X. Fu; D. Zhuang; C. Xie; S. L. Song,IEEE Transactions on Computers,2021,70,4,495,510,,10.1109/TC.2021.3056929,Accelerators;domain-specific architectures;machine learning;emerging technologies,IEEE
Control Plane Reflection Attacks and Defenses in Software-Defined Networks,M. Zhang; G. Li; L. Xu; J. Bai; M. Xu; G. Gu; J. Wu,IEEE/ACM Transactions on Networking,2021,29,2,623,636,,10.1109/TNET.2020.3040773,Software-Defined Networking (SDN);side-channel attacks;denial-of-service attacks,IEEE
PASR: An Efficient Flow Forwarding Scheme Based on Segment Routing in Software-Defined Networking,Z. Li; Y. Hu,IEEE Access,2020,8,,10907,10914,,10.1109/ACCESS.2020.2964800,Software-defined networking (SDN);segment routing (SR);path encoding;flow table,IEEE
RoSCo: Robust Updates for Software-Defined Networks,J. Lembke; S. Ravi; P. Eugster; S. Schmid,IEEE Journal on Selected Areas in Communications,2020,38,7,1352,1365,,10.1109/JSAC.2020.2986959,Software defined networking;fault tolerance,IEEE
Spectral Coexistence of LDACS and DME: Analysis via Hardware Software Co-Design in Presence of Real Channels and RF Impairments,N. Agrawal; S. J. Darak; F. Bader,IEEE Transactions on Vehicular Technology,2020,69,9,9837,9848,,10.1109/TVT.2020.3002978,LDACS;filtered OFDM;system-on-chip;analog front end;hardware-software co-design,IEEE
Exploiting Linear Manifold Features With Parts-Based Representation in Various Scenes,Q. Li; Y. Liu; S. Yang,IEEE Access,2020,8,,50045,50056,,10.1109/ACCESS.2020.2980394,NMF;local representation;manifold regularization;multi-scale learning;feature extracting,IEEE
User-AP Association Management in Software-Defined WLANs,S. Bayhan; E. Coronado; R. Riggio; A. Zubow,IEEE Transactions on Network and Service Management,2020,17,3,1838,1852,,10.1109/TNSM.2020.3001869,WLANs;multicast;SDN;Wi-Fi;AP association,IEEE
Adaptive Load Management of Web Applications on Software Defined Infrastructure,N. Beigi-Mohammadi; M. Shtern; M. Litoiu,IEEE Transactions on Network and Service Management,2020,17,1,488,502,,10.1109/TNSM.2019.2948969,Autonomic management;cloud computing;auto-scaling;software defined networking;network virtualization;machine learning;profit maximization;optimization,IEEE
A Quantitative Approach to Eavesdrop Video Display Systems Exploiting Multiple Electromagnetic Leakage Channels,P. De Meulemeester; B. Scheers; G. A. E. Vandenbosch,IEEE Transactions on Electromagnetic Compatibility,2020,62,3,663,672,,10.1109/TEMC.2019.2923026,Compromising emanations;digital video interface (DVI);high-definition multimedia interface (HDMI);information emission security;liquid crystal display (LCD);multiple-input multiple-output (MIMO);quantitative analysis;radiation pattern;side-channel attacks;signal-to-noise ratio (SNR);TEMPEST,IEEE
Software Packet-Level Network Analytics at Cloud Scale,O. Michel; J. Sonchack; G. Cusack; M. Nazari; E. Keller; J. M. Smith,IEEE Transactions on Network and Service Management,2021,18,1,597,610,,10.1109/TNSM.2021.3058653,Network monitoring and measurements;data center networks;performance management;security management;prototype implementation and testbed experimentation,IEEE
Virtio Front-End Network Driver for RTEMS Operating System,J. -H. Kim; H. -W. Jin,IEEE Embedded Systems Letters,2020,12,3,91,94,,10.1109/LES.2019.2957570,Network;real-time operating systems (RTOSs);virtio;virtualization,IEEE
QoS-Aware Multicast for Scalable Video Streaming in Software-Defined Networks,H. Zhong; F. Wu; Y. Xu; J. Cui,IEEE Transactions on Multimedia,2021,23,,982,994,,10.1109/TMM.2020.2991539,Software-defined networking;quality of service;scalable multimedia streaming multicast,IEEE
RFAL: Adversarial Learning for RF Transmitter Identification and Classification,D. Roy; T. Mukherjee; M. Chatterjee; E. Blasch; E. Pasiliao,IEEE Transactions on Cognitive Communications and Networking,2020,6,2,783,801,,10.1109/TCCN.2019.2948919,RF fingerprinting;GAN;machine learning;convolutional neural network;deep neural network;recurrent neural network;I/Q imbalance;software defined radios,IEEE
Measuring Software Obfuscation Quality–A Systematic Literature Review,S. A. Ebad; A. A. Darem; J. H. Abawajy,IEEE Access,2021,9,,99024,99038,,10.1109/ACCESS.2021.3094517,Software obfuscation;obfuscation quality;obfuscation measure;malware detection;systematic literature review,IEEE
Efficient Parametric Model Checking Using Domain Knowledge,R. Calinescu; C. Paterson; K. Johnson,IEEE Transactions on Software Engineering,2021,47,6,1114,1133,,10.1109/TSE.2019.2912958,Parametric model checking;Markov models;model abstraction;probabilistic model checking;quality of service,IEEE
EM-Fuzz: Augmented Firmware Fuzzing via Memory Checking,J. Gao; Y. Xu; Y. Jiang; Z. Liu; W. Chang; X. Jiao; J. Sun,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,39,11,3420,3432,,10.1109/TCAD.2020.3013046,Embedded firmware;guided fuzzing;memory checking;vulnerability,IEEE
<italic>TagSort</italic>: Accurate Relative Localization Exploring RFID Phase Spectrum Matching for Internet of Things,J. Lai; C. Luo; J. Wu; J. Li; J. Wang; J. Chen; G. Feng; H. Song,IEEE Internet of Things Journal,2020,7,1,389,399,,10.1109/JIOT.2019.2950174,Indoor localization;phase spectrum;relative localization;radio frequency identification (RFID),IEEE
A Review of Scalability Issues in Software-Defined Exchange Point (SDX) Approaches: State-of-the-Art,A. Abdullahi; S. Manickam; S. Karuppayah,IEEE Access,2021,9,,74499,74509,,10.1109/ACCESS.2021.3069808,Internet exchange point;border gateway protocol;software-defined network;software-defined exchange;inter-domain routing;peering,IEEE
SARVE-2: Exploiting Social Venue Recommendation in the Context of Smart Conferences,N. Y. Asabere; B. Xu; A. Acakpovi; N. Deonauth,IEEE Transactions on Emerging Topics in Computing,2021,9,1,342,353,,10.1109/TETC.2018.2854718,Conference attendees;recommender systems;scholarly big data;search strategies;social relations,IEEE
Metadata Connector: Exploiting Hashtag and Tag for Cross-OSN Event Search,Y. Gao; J. Sang; C. Fu; Z. Wang; T. Ren; C. Xu,IEEE Transactions on Multimedia,2021,23,,510,523,,10.1109/TMM.2020.2982047,Social media search;cross-OSN application;social multimedia,IEEE
Media Casting as a Service: Industries Convergence Opportunity and Caching Service for 5G Indoor gNB,N. Jawad; M. Salih; J. Cosmas,IEEE Transactions on Broadcasting,2020,66,2,579,588,,10.1109/TBC.2020.2977552,DVB;digital video broadcasting;HbbTV;hybrid broadcast broadband;MEC;mobile edge computing;MNO;mobile network operator;NFV;network function virtualization;RAN;radio access network;SDN;software defined network;VLC;visible light communication,IEEE
WiZig: Cross-Technology Energy Communication Over a Noisy Channel,X. Guo; Y. He; X. Zheng,IEEE/ACM Transactions on Networking,2020,28,6,2449,2460,,10.1109/TNET.2020.3013921,Wireless communication;cross-technology;protocol,IEEE
LoRay: AoA Estimation System for Long Range Communication Networks,N. BniLam; D. Joosens; M. Aernouts; J. Steckel; M. Weyn,IEEE Transactions on Wireless Communications,2021,20,3,2005,2018,,10.1109/TWC.2020.3038565,Angle of arrival;AoA;direction of arrival;DoA;direction finding;DF;LoRa;LoRaWAN;LPWAN;outdoor AoA estimation;IoT localization,IEEE
A Fully Passive RF Front End With 13-dB Gain Exploiting Implicit Capacitive Stacking in a Bottom-Plate N-Path Filter/Mixer,V. K. Purushothaman; E. A. M. Klumperink; B. T. Clavera; B. Nauta,IEEE Journal of Solid-State Circuits,2020,55,5,1139,1150,,10.1109/JSSC.2019.2959489,Bottom-plate mixing;capacitive stacking;CMOS;high linearity;interference-robust;Internet-of-Things (IoTs);low power;mixer-first receiver;N-path filter;passive mixer;RF front end;transformer,IEEE
A Machine Learning Based Monitoring Framework for Side-Channel Information Leaks,M. Lescisin; Q. H. Mahmoud,IEEE Open Journal of the Computer Society,2021,2,,139,151,,10.1109/OJCS.2021.3061445,Data mining;devops;machine learning;security;side-channel;software quality,IEEE
Probing into the Physical Layer: Moving Tag Detection for Large-Scale RFID Systems,C. Wang; L. Xie; W. Wang; Y. Chen; T. Xue; S. Lu,IEEE Transactions on Mobile Computing,2020,19,5,1200,1215,,10.1109/TMC.2019.2907244,RFID;collision decoding;tag inventory,IEEE
Semi-Supervised Multi-Modal Multi-Instance Multi-Label Deep Network with Optimal Transport,Y. Yang; Z. -Y. Fu; D. -C. Zhan; Z. -B. Liu; Y. Jiang,IEEE Transactions on Knowledge and Data Engineering,2021,33,2,696,709,,10.1109/TKDE.2019.2932666,Semi-supervised learning;multi-modal multi-instance multi-label learning;modal consistency;optimal transport,IEEE
Towards a Modular and Distributed End-User Development Framework for Human-Robot Interaction,E. Coronado; D. Deuff; P. Carreno-Medrano; L. Tian; D. Kulić; S. Sumartojo; F. Mastrogiovanni; G. Venture,IEEE Access,2021,9,,12675,12692,,10.1109/ACCESS.2021.3051605,Robotics;human-robot interaction;end-user development;robot programming;social robots;service robots,IEEE
An Integrated Approach for Effective Injection Vulnerability Analysis of Web Applications Through Security Slicing and Hybrid Constraint Solving,J. Thomé; L. K. Shar; D. Bianculli; L. Briand,IEEE Transactions on Software Engineering,2020,46,2,163,195,,10.1109/TSE.2018.2844343,Vulnerability detection;constraint solving;static analysis;search-based software engineering,IEEE
A Medium-Term Disruption Tolerant SDN for Wireless TCP/IP Networks,S. Babu; A. Rajeev; B. S. Manoj,IEEE Transactions on Network and Service Management,2020,17,4,2318,2334,,10.1109/TNSM.2020.3023889,Software defined networks;disruption tolerant networks;medium-term disruption tolerant networks;wireless mesh networks;OpenFlow,IEEE
Efficient and Self-Recursive Delay Vandermonde Algorithm for Multi-Beam Antenna Arrays,S. M. Perera; A. Madanayake; R. J. Cintra,IEEE Open Journal of Signal Processing,2020,1,,64,76,,10.1109/OJSP.2020.2991586,Delay vandermonde matrix;efficient algorithms;self-recursive algorithms;complexity and performance of algorithms;approximation algorithms;wireless communications;beamforming;software defined radio,IEEE
A New Framework for DDoS Attack Detection and Defense in SDN Environment,L. Tan; Y. Pan; J. Wu; J. Zhou; H. Jiang; Y. Deng,IEEE Access,2020,8,,161908,161919,,10.1109/ACCESS.2020.3021435,Software defined network;distributed denial of service (DDoS);collaborative detection;traffic characteristics;detection trigger,IEEE
Disclose or Exploit? A Game-Theoretic Approach to Strategic Decision Making in Cyber-Warfare,H. Chen; Q. Han; S. Jajodia; R. Lindelauf; V. S. Subrahmanian; Y. Xiong,IEEE Systems Journal,2020,14,3,3779,3790,,10.1109/JSYST.2020.2964985,Cyber-security;decision support system;game theory;national defense and security,IEEE
Exploiting Spatio-Temporal Properties of I/Q Signal Data Using 3D Convolution for RF Transmitter Identification,M. Ramasubramanian; C. Banerjee; D. Roy; E. Pasiliao; T. Mukherjee,IEEE Journal of Radio Frequency Identification,2021,5,2,113,127,,10.1109/JRFID.2021.3051901,RF fingerprinting;machine learning;convolutional neural network;deep neural network;I/Q data;time series;software defined radios,IEEE
Bringing Intelligence to Software Defined Networks: Mitigating DDoS Attacks,Z. Abou El Houda; L. Khoukhi; A. Senhaji Hafid,IEEE Transactions on Network and Service Management,2020,17,4,2523,2535,,10.1109/TNSM.2020.3014870,DDoS;SDN;entropy;Bayes classifier,IEEE
Plasticity-on-Chip Design: Exploiting Self-Similarity for Data Communications,Y. Xiao; S. Nazarian; P. Bogdan,IEEE Transactions on Computers,2021,70,6,950,962,,10.1109/TC.2021.3071507,Software hardware codesign;optimal parallelization degree;self-similarity;graph neural networks;intelligent scheduler,IEEE
Reusing Solutions Modulo Theories,A. Aquino; G. Denaro; M. Pezzè,IEEE Transactions on Software Engineering,2021,47,5,948,968,,10.1109/TSE.2019.2898199,Symbolic program analysis;symbolic execution;SMT solver;solution reuse,IEEE
Guided Dual Networks for Single Image Super-Resolution,W. Chen; C. Liu; Y. Yan; L. Jin; X. Sun; X. Peng,IEEE Access,2020,8,,93608,93620,,10.1109/ACCESS.2020.2995175,Convolutional neural network;dual network;generative adversarial network;single image super-resolution,IEEE
MODEL: Motif-Based Deep Feature Learning for Link Prediction,L. Wang; J. Ren; B. Xu; J. Li; W. Luo; F. Xia,IEEE Transactions on Computational Social Systems,2020,7,2,503,516,,10.1109/TCSS.2019.2962819,Autoencoder;deep learning;link prediction;network embedding;network motif,IEEE
Adaptive Device-Free Localization in Dynamic Environments Through Adaptive Neural Networks,R. Zhou; H. Hou; Z. Gong; Z. Chen; K. Tang; B. Zhou,IEEE Sensors Journal,2021,21,1,548,559,,10.1109/JSEN.2020.3014641,Channel state information (CSI);convolutional neural network (CNN);device-free localization (DFL);domain adaptation (DA);semantic alignment (SA),IEEE
HarTBleed: Using Hardware Trojans for Data Leakage Exploits,A. De; M. Nasim Imtiaz Khan; K. Nagarajan; S. Ghosh,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2020,28,4,968,979,,10.1109/TVLSI.2019.2961358,Data leakage;hardware Trojan;translation lookaside buffer (TLB);trigger,IEEE
Neural Network Training With Stochastic Hardware Models and Software Abstractions,B. Zhang; L. -Y. Chen; N. Verma,IEEE Transactions on Circuits and Systems I: Regular Papers,2021,68,4,1532,1542,,10.1109/TCSI.2021.3052981,Statistical computing;in-memory computing;circuit reliability;deep learning;fault tolerance,IEEE
An Efficient Counter-Based DDoS Attack Detection Framework Leveraging Software Defined IoT (SD-IoT),J. Bhayo; S. Hameed; S. A. Shah,IEEE Access,2020,8,,221612,221631,,10.1109/ACCESS.2020.3043082,SD-IoT;SDN;attack detection;DDoS;counter-based DDoS detection,IEEE
A Reference Model and Prototype Implementation for SDN-Based Multi Layer Routing in Fog Environments,P. Bellavista; C. Giannelli; D. D. P. Montenero,IEEE Transactions on Network and Service Management,2020,17,3,1460,1473,,10.1109/TNSM.2020.2995903,Software defined networking;overlay networking;management middleware;multi-layering,IEEE
Communication Model and Capacity Limits of Covert Channels Created by Software Activities,B. B. Yilmaz; N. Sehatbakhsh; A. Zajić; M. Prvulovic,IEEE Transactions on Information Forensics and Security,2020,15,,1891,1904,,10.1109/TIFS.2019.2952265,Covert/side channels wireless communications;electromagnetic information leakage;information security,IEEE
"Securing Control and Data Planes From Reconnaissance Attacks Using Distributed Shadow Controllers, Reactive and Proactive Approaches",M. F. Hyder; M. A. Ismail,IEEE Access,2021,9,,21881,21894,,10.1109/ACCESS.2021.3055577,Cyber kill chain;moving target defense;software defined networking;SDN security;reconnaissance,IEEE
Real-Time Intrusion Detection in Wireless Network: A Deep Learning-Based Intelligent Mechanism,L. Yang; J. Li; L. Yin; Z. Sun; Y. Zhao; Z. Li,IEEE Access,2020,8,,170128,170139,,10.1109/ACCESS.2020.3019973,Intrusion detection;conditional deep belief network;Samselect algorithm;stacked contractive auto-encoder;real-time detection,IEEE
Learning With Feature Evolvable Streams,B. -J. Hou; L. Zhang; Z. -H. Zhou,IEEE Transactions on Knowledge and Data Engineering,2021,33,6,2602,2615,,10.1109/TKDE.2019.2954090,Machine learning;supervised learning;learning with streaming data;evolvable features,IEEE
Pose-Based View Synthesis for Vehicles: A Perspective Aware Method,K. Lv; H. Sheng; Z. Xiong; W. Li; L. Zheng,IEEE Transactions on Image Processing,2020,29,,5163,5174,,10.1109/TIP.2020.2980130,Novel view synthesis;generative adversarial nets;perspective transformation;generative model;vehicle pose,IEEE
Toward Smart Selective Sensors Exploiting a Novel Approach to Connect Optical Fiber Biosensors in Internet,N. Cennamo; F. Arcadio; F. Capasso; C. Perri; G. D’Agostino; G. Porto; A. Biasiolo; L. Zeni,IEEE Transactions on Instrumentation and Measurement,2020,69,10,8009,8019,,10.1109/TIM.2020.2987403,Biosensors;Internet of Things (IoT);optical fiber sensors;plastic optical fibers (POFs);pollutants;software;water quality (WQ),IEEE
CBinfer: Exploiting Frame-to-Frame Locality for Faster Convolutional Network Inference on Video Streams,L. Cavigelli; L. Benini,IEEE Transactions on Circuits and Systems for Video Technology,2020,30,5,1451,1465,,10.1109/TCSVT.2019.2903421,Convolutional neural networks;machine learning algorithms;inference algorithms;embedded software;video surveillance;image segmentation;object detection,IEEE
"The Not Yet Exploited Goldmine of OSINT: Opportunities, Open Challenges and Future Trends",J. Pastor-Galindo; P. Nespoli; F. Gómez Mármol; G. Martínez Pérez,IEEE Access,2020,8,,10282,10304,,10.1109/ACCESS.2020.2965257,OSINT;cyberintelligence;cybersecurity;cyberdefence;challenges;national security;computer crime;computational intelligence;knowledge acquisition;social network services;software tools;data privacy;Internet,IEEE
Training Robust Deep Neural Networks via Adversarial Noise Propagation,A. Liu; X. Liu; H. Yu; C. Zhang; Q. Liu; D. Tao,IEEE Transactions on Image Processing,2021,30,,5769,5781,,10.1109/TIP.2021.3082317,Adversarial examples;corruption;model robustness;deep neural networks,IEEE
RAGAT: Relation Aware Graph Attention Network for Knowledge Graph Completion,X. Liu; H. Tan; Q. Chen; G. Lin,IEEE Access,2021,9,,20840,20849,,10.1109/ACCESS.2021.3055529,Knowledge graph completion;knowledge graph embedding;graph attention networks,IEEE
Penetration Frameworks and Development Issues in Secure Mobile Application Development: A Systematic Literature Review,I. U. Haq; T. A. Khan,IEEE Access,2021,9,,87806,87825,,10.1109/ACCESS.2021.3088229,Android;penetration testing;android security and privacy,IEEE
Efficient Active Learning by Querying Discriminative and Representative Samples and Fully Exploiting Unlabeled Data,B. Gu; Z. Zhai; C. Deng; H. Huang,IEEE Transactions on Neural Networks and Learning Systems,2021,32,9,4111,4122,,10.1109/TNNLS.2020.3016928,Active learning;maximum mean discrepancy (MMD);path-following algorithm;semisupervised support vector machine,IEEE
